"항목",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"항목",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"항목",소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범
"발생",309001,6991,39175,56075,75826,1121,23913,105900,309268,6993,42203,54723,80710,1349,23596,99694,296177,6264,38292,48344,85968,1523,23177,92609,257967,5343,33529,41756,68314,1334,21383,86308,279507,6254,37579,46783,78566,939,26162,83224
"검거",239291,6598,19762,48389,46561,964,19258,97759,235360,6491,21284,47253,47539,1154,19385,92254,219683,5907,19705,41127,48780,1325,18594,84245,189139,4838,17950,35388,36227,1124,16125,77487,192540,5745,20205,39338,38584,760,16620,71288
